screenshot,creator,platform,url_quality,url,section,source_file
01.png,Nezih Savi,Kickstarter,truncated,https://www.kickstarter.com/.../orman-a-roll-and-plant...,Screenshot `01.png`,"Feb. 9-14, 2026/extracted_text_and_urls.md"
01.png,Florian Fiedler,Gamefound,truncated,https://gamefound.com/.../essence-the-grim-expeditions,Screenshot `01.png`,"Feb. 9-14, 2026/extracted_text_and_urls.md"
01.png,Radek Ignatów,Kickstarter,full,https://www.kickstarter.com/projects/radek-ignatow/king-0,Screenshot `01.png`,"Feb. 9-14, 2026/extracted_text_and_urls.md"
01.png,Nazareno Properzi,Kickstarter,truncated,https://www.kickstarter.com/.../one-card-dungeon-hells-door,Screenshot `01.png`,"Feb. 9-14, 2026/extracted_text_and_urls.md"
02.png,Edward Bell,Kickstarter,truncated,https://www.kickstarter.com/.../pocket-puffins-lost-in...,Screenshot `02.png`,"Feb. 9-14, 2026/extracted_text_and_urls.md"
02.png,Mike Petty,Etsy,full,https://mikepettygames.etsy.com/listing/4454645684,Screenshot `02.png`,"Feb. 9-14, 2026/extracted_text_and_urls.md"
02.png,Martin van Rossum,Kickstarter,truncated,https://www.kickstarter.com/pro.../rollingrhinogames/catsaga,Screenshot `02.png`,"Feb. 9-14, 2026/extracted_text_and_urls.md"
03.png,Guillermina Rivas,Itch.io,truncated,https://infiniteinitegames.itch.io/pirate-primates-chess...?,Screenshot `03.png`,"Feb. 9-14, 2026/extracted_text_and_urls.md"
03.png,Tony Fairbanks,Google Drive,truncated,https://drive.google.com/.../1PmDrhiyL5caebHsj-Ed.../view...,Screenshot `03.png`,"Feb. 9-14, 2026/extracted_text_and_urls.md"
03.png,Tony Fairbanks,YouTube,full,https://youtu.be/T2w9FbfdWH8?si=co-Q24GA0WFGe2ZR,Screenshot `03.png`,"Feb. 9-14, 2026/extracted_text_and_urls.md"
03.png,Tony Fairbanks,YouTube,full,https://youtu.be/DBIV6GYHgz8?si=-yp3QwHOvlhfj4JO,Screenshot `03.png`,"Feb. 9-14, 2026/extracted_text_and_urls.md"
03.png,Ra Oul Schaupp,Itch.io,full,https://itch.io/j/180328/-/birthday-sale-,Screenshot `03.png`,"Feb. 9-14, 2026/extracted_text_and_urls.md"
03.png,Krzysiek Pietrzak (start of next post visible),Kickstarter,full,https://www.kickstarter.com/projects/timetodice/red-dungeon,Screenshot `03.png`,"Feb. 9-14, 2026/extracted_text_and_urls.md"
04.png,Two Acorns Games,Kickstarter,truncated,https://www.kickstarter.com/pro.../twoacornsgames/dice-horde,Screenshot `04.png`,"Feb. 9-14, 2026/extracted_text_and_urls.md"
04.png,Time to Dice: simulation board games,Kickstarter,full,https://www.kickstarter.com/projects/timetodice/red-dungeon,Screenshot `04.png`,"Feb. 9-14, 2026/extracted_text_and_urls.md"
04.png,Martin Melbardis,Kickstarter,full,https://www.kickstarter.com/projects/105281170/fliegerkorps,Screenshot `04.png`,"Feb. 9-14, 2026/extracted_text_and_urls.md"
04.png,Nuka Zombee Games,Kickstarter,truncated,https://www.kickstarter.com/.../beastward-monster-hunt...,Screenshot `04.png`,"Feb. 9-14, 2026/extracted_text_and_urls.md"
05.png,Krzysiek Pietrzak,Kickstarter,full,https://www.kickstarter.com/projects/timetodice/red-dungeon,Screenshot `05.png`,"Feb. 9-14, 2026/extracted_text_and_urls.md"
